DATE	Population	PopOver16	LaborForce	Unemployed	CPI	CPIexFE	PCE	PCEexFE	GS1	GS5	GS10
1967-01-01	197814	128909	75320	3159	32.900	34.200	18.224	19.095	4.75	4.70	4.58
1967-02-01	197965	129032	75689	3184	33.000	34.200	18.245	19.129	4.71	4.74	4.63
1967-03-01	198122	129190	75514	2954	33.000	34.300	18.255	19.158	4.35	4.54	4.54
1967-04-01	198287	129344	76109	2664	33.100	34.400	18.285	19.211	4.11	4.51	4.59
1967-05-01	198452	129515	76096	2458	33.100	34.500	18.320	19.253	4.15	4.75	4.85
1967-06-01	198627	129722	79021	3628	33.300	34.600	18.379	19.302	4.48	5.01	5.02
1967-07-01	198812	129918	79469	3249	33.400	34.700	18.441	19.368	5.01	5.23	5.16
1967-08-01	199012	130187	79112	2942	33.500	34.900	18.499	19.427	5.13	5.31	5.28
1967-09-01	199212	130392	77527	2895	33.600	35.000	18.555	19.496	5.24	5.40	5.30
1967-10-01	199405	130582	78132	2952	33.700	35.100	18.606	19.569	5.37	5.57	5.48
1967-11-01	199578	130754	78121	2903	33.900	35.200	18.668	19.631	5.61	5.78	5.75
1967-12-01	199733	130936	78057	2720	34.000	35.400	18.698	19.679	5.71	5.75	5.70
1968-01-01	199864	131112	76346	3074	34.100	35.500	18.784	19.766	5.43	5.54	5.53
1968-02-01	199988	131277	77401	3287	34.200	35.700	18.861	19.852	5.41	5.59	5.56
1968-03-01	200132	131412	77446	2929	34.300	35.800	18.923	19.931	5.58	5.76	5.74
1968-04-01	200285	131553	77634	2491	34.400	35.900	18.982	20.004	5.71	5.69	5.64
1968-05-01	200449	131712	78235	2304	34.500	36.000	19.052	20.080	6.14	6.04	5.87
1968-06-01	200621	131872	80888	3615	34.700	36.200	19.113	20.158	5.98	5.85	5.72
1968-07-01	200802	132053	80965	3217	34.900	36.400	19.171	20.225	5.65	5.60	5.50
1968-08-01	200997	132251	80203	2772	35.000	36.500	19.250	20.304	5.43	5.50	5.42
1968-09-01	201193	132446	78546	2607	35.100	36.700	19.317	20.387	5.45	5.48	5.46
1968-10-01	201378	132617	78875	2510	35.300	36.900	19.402	20.469	5.57	5.55	5.58
1968-11-01	201544	132903	79184	2576	35.400	37.100	19.467	20.546	5.75	5.66	5.70
1968-12-01	201691	133120	79117	2418	35.600	37.200	19.508	20.609	6.19	6.12	6.03
1969-01-01	201821	133324	78232	2875	35.700	37.300	19.584	20.687	6.34	6.25	6.04
1969-02-01	201952	133465	79103	2923	35.800	37.600	19.633	20.757	6.41	6.34	6.19
1969-03-01	202092	133639	79267	2747	36.100	37.800	19.726	20.854	6.34	6.41	6.30
1969-04-01	202246	133821	79619	2542	36.300	38.100	19.812	20.935	6.26	6.30	6.17
1969-05-01	202419	134027	79565	2300	36.400	38.100	19.892	21.018	6.42	6.54	6.32
1969-06-01	202592	134213	82357	3399	36.600	38.300	19.989	21.091	7.04	6.75	6.57
1969-07-01	202777	134414	82797	3182	36.800	38.500	20.076	21.189	7.60	7.01	6.72
1969-08-01	202984	134597	82516	2870	36.900	38.700	20.132	21.249	7.54	7.03	6.69
1969-09-01	203196	134774	80984	2958	37.100	38.900	20.216	21.334	7.82	7.57	7.16
1969-10-01	203401	135012	81511	2840	37.300	39.100	20.285	21.425	7.64	7.51	7.10
1969-11-01	203588	135239	81427	2711	37.500	39.200	20.372	21.507	7.89	7.53	7.14
1969-12-01	203762	135489	81416	2627	37.700	39.400	20.465	21.587	8.17	7.96	7.65
1970-01-01	203929	135713	80719	3406	37.900	39.600	20.539	21.659	8.10	8.17	7.79
1970-02-01	204082	135957	81283	3794	38.100	39.800	20.620	21.742	7.59	7.82	7.24
1970-03-01	204246	136179	81689	3732	38.300	40.100	20.672	21.823	6.97	7.21	7.07
1970-04-01	204504	136416	81960	3552	38.500	40.400	20.776	21.909	7.06	7.50	7.39
1970-05-01	204719	136686	81758	3385	38.600	40.500	20.842	21.986	7.75	7.97	7.91
1970-06-01	204941	136928	84087	4671	38.800	40.800	20.896	22.066	7.55	7.85	7.84
1970-07-01	205174	137196	84857	4514	38.900	40.900	20.973	22.149	7.10	7.59	7.46
1970-08-01	205418	137455	84191	4226	39.000	41.100	21.028	22.226	6.98	7.57	7.53
1970-09-01	205664	137717	82641	4300	39.200	41.300	21.122	22.319	6.73	7.29	7.39
1970-10-01	205906	137988	83288	4269	39.400	41.500	21.227	22.429	6.43	7.12	7.33
1970-11-01	206131	138264	83478	4618	39.600	41.800	21.310	22.544	5.51	6.47	6.84
1970-12-01	206352	138529	83301	4650	39.800	42.000	21.405	22.658	5.00	5.95	6.39
1971-01-01	206567	138795	82818	5429	39.900	42.100	21.450	22.747	4.57	5.89	6.24
1971-02-01	206762	139021	82885	5458	39.900	42.200	21.513	22.834	3.89	5.56	6.11
1971-03-01	206960	139285	82866	5190	40.000	42.200	21.584	22.907	3.69	5.00	5.70
1971-04-01	207163	139566	83116	4712	40.100	42.400	21.669	22.992	4.30	5.65	5.83
1971-05-01	207361	139826	83344	4415	40.300	42.600	21.759	23.093	5.04	6.28	6.39
1971-06-01	207562	140090	85228	5511	40.500	42.800	21.855	23.184	5.64	6.53	6.52
1971-07-01	207771	140343	86296	5354	40.600	42.900	21.921	23.273	6.04	6.85	6.73
1971-08-01	207998	140596	85984	5086	40.700	43.000	21.985	23.305	5.80	6.55	6.58
1971-09-01	208230	140869	84456	4867	40.800	43.000	22.018	23.344	5.41	6.14	6.14
1971-10-01	208450	141146	84974	4599	40.900	43.100	22.052	23.381	4.91	5.93	5.93
1971-11-01	208648	141393	85374	4846	41.000	43.200	22.097	23.433	4.67	5.78	5.81
1971-12-01	208829	141666	85255	4728	41.100	43.300	22.184	23.507	4.60	5.69	5.93
1972-01-01	208989	142736	84940	5481	41.200	43.500	22.275	23.607	4.28	5.59	5.95
1972-02-01	209137	143017	85180	5446	41.400	43.600	22.363	23.671	4.27	5.69	6.08
1972-03-01	209299	143263	85828	5250	41.400	43.600	22.395	23.717	4.67	5.87	6.07
1972-04-01	209466	143483	85759	4732	41.500	43.800	22.429	23.772	4.96	6.17	6.19
1972-05-01	209635	143760	86028	4382	41.600	43.900	22.478	23.828	4.64	5.85	6.13
1972-06-01	209811	144033	88540	5467	41.700	44.000	22.513	23.875	4.93	5.91	6.11
1972-07-01	209986	144285	89127	5216	41.800	44.100	22.593	23.944	4.96	5.97	6.11
1972-08-01	210177	144522	88894	4901	41.900	44.300	22.659	23.994	4.98	6.02	6.21
1972-09-01	210379	144761	87242	4705	42.100	44.300	22.760	24.075	5.52	6.25	6.55
1972-10-01	210568	144988	87741	4518	42.200	44.400	22.786	24.088	5.52	6.18	6.48
1972-11-01	210739	145211	87548	4317	42.400	44.400	22.854	24.152	5.27	6.12	6.28
1972-12-01	210903	145446	87593	4169	42.500	44.600	22.927	24.225	5.52	6.16	6.36
1973-01-01	211053	145720	86327	4730	42.700	44.600	22.996	24.240	5.89	6.34	6.46
1973-02-01	211187	145943	87303	4898	43.000	44.800	23.117	24.316	6.19	6.60	6.64
1973-03-01	211337	146230	87961	4564	43.400	45.000	23.280	24.414	6.85	6.80	6.71
1973-04-01	211499	146459	88127	4227	43.700	45.100	23.454	24.556	6.85	6.67	6.67
1973-05-01	211662	146719	88238	3855	43.900	45.300	23.569	24.651	6.89	6.80	6.85
1973-06-01	211828	146981	91124	4907	44.200	45.400	23.704	24.757	7.31	6.69	6.90
1973-07-01	212001	147233	91655	4613	44.200	45.500	23.790	24.863	8.39	7.33	7.13
1973-08-01	212191	147471	90888	4273	45.000	45.700	24.064	24.979	8.82	7.63	7.40
1973-09-01	212382	147731	89782	4230	45.200	46.000	24.160	25.105	8.31	7.05	7.09
1973-10-01	212555	147980	90547	3830	45.600	46.300	24.296	25.202	7.40	6.77	6.79
1973-11-01	212710	148219	90690	4127	45.900	46.500	24.495	25.324	7.57	6.92	6.73
1973-12-01	212859	148479	90520	4130	46.300	46.700	24.697	25.464	7.27	6.80	6.74
1974-01-01	213003	148753	89924	5081	46.800	46.900	24.934	25.589	7.42	6.95	6.99
1974-02-01	213143	148982	90273	5212	47.300	47.200	25.224	25.753	6.88	6.82	6.96
1974-03-01	213286	149225	90486	4826	47.800	47.600	25.517	25.953	7.76	7.31	7.21
1974-04-01	213437	149478	90366	4372	48.100	47.900	25.697	26.147	8.62	7.92	7.51
1974-05-01	213600	149750	90830	4219	48.600	48.500	25.950	26.398	8.78	8.18	7.58
1974-06-01	213770	150012	93481	5459	49.000	49.000	26.170	26.670	8.67	8.10	7.54
1974-07-01	213948	150248	94238	5341	49.300	49.500	26.363	26.906	8.80	8.38	7.81
1974-08-01	214144	150493	93446	4967	49.900	50.200	26.639	27.165	9.36	8.63	8.04
1974-09-01	214349	150753	92449	5287	50.600	50.700	26.916	27.409	8.87	8.37	8.04
1974-10-01	214538	151009	92909	5131	51.000	51.200	27.108	27.623	8.05	7.97	7.90
1974-11-01	214704	151256	92638	5775	51.500	51.600	27.312	27.825	7.66	7.68	7.68
1974-12-01	214857	151494	92368	6199	51.900	52.000	27.528	28.021	7.31	7.31	7.43
1975-01-01	214998	151755	92200	8272	52.300	52.300	27.698	28.185	6.83	7.41	7.50
1975-02-01	215132	151990	91972	8399	52.600	52.800	27.849	28.384	5.98	7.11	7.39
1975-03-01	215276	152217	92464	8446	52.800	53.000	27.943	28.533	6.11	7.30	7.73
1975-04-01	215438	152443	92459	7908	53.000	53.300	28.039	28.671	6.90	7.99	8.23
1975-05-01	215646	152704	92888	7715	53.100	53.500	28.150	28.793	6.39	7.72	8.06
1975-06-01	215871	152976	95174	8667	53.500	53.800	28.326	28.933	6.29	7.51	7.86
1975-07-01	216084	153309	96053	8311	54.000	54.000	28.569	29.112	7.11	7.92	8.06
1975-08-01	216294	153580	95525	7799	54.200	54.200	28.693	29.212	7.70	8.33	8.40
1975-09-01	216490	153848	94023	7624	54.600	54.500	28.835	29.371	7.75	8.37	8.43
1975-10-01	216679	154082	94510	7350	54.900	54.800	29.003	29.517	6.95	7.97	8.14
1975-11-01	216851	154338	94041	7341	55.300	55.200	29.189	29.713	6.49	7.80	8.05
1975-12-01	217013	154589	93995	7307	55.600	55.500	29.350	29.893	6.60	7.76	8.00
1976-01-01	217172	154853	93938	8286	55.800	55.900	29.462	30.046	5.81	7.46	7.74
1976-02-01	217315	155066	94075	8143	55.900	56.200	29.500	30.166	5.91	7.45	7.79
1976-03-01	217455	155306	94400	7631	56.000	56.500	29.544	30.266	6.21	7.49	7.73
1976-04-01	217607	155529	94782	6996	56.100	56.700	29.611	30.384	5.92	7.25	7.56
1976-05-01	217773	155765	94925	6415	56.400	57.000	29.752	30.527	6.40	7.59	7.90
1976-06-01	217948	156027	97499	7772	56.700	57.200	29.882	30.651	6.52	7.61	7.86
1976-07-01	218134	156276	98605	7697	57.000	57.600	30.033	30.820	6.20	7.49	7.83
1976-08-01	218337	156525	98133	7443	57.300	57.900	30.199	30.997	6.00	7.31	7.77
1976-09-01	218542	156779	96430	7148	57.600	58.200	30.369	31.179	5.84	7.13	7.59
1976-10-01	218739	156993	96999	6958	57.900	58.500	30.528	31.332	5.50	6.75	7.41
1976-11-01	218920	157235	97116	7224	58.100	58.700	30.667	31.475	5.29	6.52	7.29
1976-12-01	219093	157438	97004	7154	58.400	58.900	30.839	31.645	4.89	6.10	6.87
1977-01-01	219262	157688	96197	7980	58.700	59.300	31.017	31.838	5.29	6.58	7.21
1977-02-01	219424	157913	96837	8237	59.300	59.700	31.260	32.033	5.47	6.83	7.39
1977-03-01	219594	158131	97277	7680	59.600	60.000	31.417	32.169	5.50	6.93	7.46
1977-04-01	219772	158371	97352	6692	60.000	60.300	31.600	32.329	5.44	6.79	7.37
1977-05-01	219953	158657	97755	6280	60.200	60.600	31.760	32.494	5.84	6.94	7.46
1977-06-01	220143	158929	100743	7589	60.500	61.000	31.937	32.687	5.80	6.76	7.28
1977-07-01	220349	159185	100960	7081	60.800	61.200	32.103	32.890	5.94	6.84	7.33
1977-08-01	220573	159430	100744	6897	61.100	61.500	32.253	33.051	6.37	7.03	7.40
1977-09-01	220796	159674	99367	6579	61.300	61.800	32.374	33.190	6.53	7.04	7.34
1977-10-01	221007	159915	100144	6365	61.600	62.000	32.524	33.351	6.97	7.32	7.52
1977-11-01	221206	160129	100522	6495	62.000	62.300	32.712	33.524	6.95	7.34	7.58
1977-12-01	221390	160377	100213	6031	62.300	62.700	32.870	33.697	6.96	7.48	7.69
1978-01-01	221553	160617	99664	7048	62.700	63.100	33.064	33.899	7.28	7.77	7.96
1978-02-01	221711	160831	99641	6886	63.000	63.400	33.218	34.029	7.34	7.83	8.03
1978-03-01	221892	161038	100166	6621	63.400	63.800	33.433	34.213	7.31	7.86	8.04
1978-04-01	222084	161263	100610	5826	63.900	64.300	33.686	34.435	7.45	7.98	8.15
1978-05-01	222278	161518	101092	5605	64.500	64.700	33.927	34.637	7.82	8.18	8.35
1978-06-01	222482	161795	104010	6481	65.000	65.200	34.149	34.831	8.09	8.36	8.46
1978-07-01	222697	162034	104512	6597	65.500	65.600	34.336	35.035	8.39	8.54	8.64
1978-08-01	222933	162259	103946	6090	65.900	66.100	34.509	35.224	8.31	8.33	8.41
1978-09-01	223168	162502	102748	5958	66.500	66.700	34.706	35.426	8.64	8.43	8.42
1978-10-01	223383	162783	103474	5624	67.100	67.200	34.981	35.686	9.14	8.61	8.64
1978-11-01	223585	163017	103586	5797	67.500	67.600	35.180	35.878	10.01	8.84	8.81
1978-12-01	223781	163272	103565	5896	67.900	68.000	35.345	36.018	10.30	9.08	9.01
1979-01-01	223973	163516	102802	6602	68.500	68.500	35.611	36.203	10.41	9.20	9.10
1979-02-01	224150	163726	103185	6649	69.200	69.200	35.802	36.321	10.24	9.13	9.10
1979-03-01	224333	164027	103606	6325	69.900	69.800	36.081	36.530	10.25	9.20	9.12
1979-04-01	224529	164162	103198	5720	70.600	70.300	36.457	36.867	10.12	9.25	9.18
1979-05-01	224734	164459	103476	5419	71.400	70.800	36.835	37.187	10.12	9.24	9.25
1979-06-01	224948	164721	106210	6409	72.200	71.300	37.138	37.396	9.57	8.85	8.91
1979-07-01	225174	164970	107096	6282	73.000	71.900	37.422	37.583	9.64	8.90	8.95
1979-08-01	225419	165198	106489	6315	73.700	72.700	37.708	37.833	9.98	9.06	9.03
1979-09-01	225662	165431	105510	5978	74.400	73.300	38.041	38.091	10.84	9.41	9.33
1979-10-01	225893	165813	106084	5964	75.200	74.000	38.351	38.369	12.44	10.63	10.30
1979-11-01	226120	166051	105871	5964	76.000	74.800	38.617	38.615	12.39	10.93	10.65
1979-12-01	226339	166300	106040	6027	76.900	75.700	38.942	38.892	11.98	10.42	10.39
1980-01-01	226554	166544	105344	7234	78.000	76.700	39.349	39.187	12.06	10.74	10.80
1980-02-01	226753	166759	105412	7177	79.000	77.500	39.776	39.578	13.92	12.60	12.41
1980-03-01	226955	166984	105510	6983	80.100	78.600	40.264	39.945	15.82	13.47	12.75
1980-04-01	227156	167197	105592	7023	80.900	79.500	40.475	40.150	13.30	11.84	11.47
1980-05-01	227387	167407	106233	7501	81.700	80.100	40.790	40.473	9.39	9.95	10.18
1980-06-01	227624	167643	108311	8481	82.500	81.000	41.047	40.742	8.16	9.21	9.78
1980-07-01	227840	167932	109268	8603	82.600	80.800	41.365	41.028	8.65	9.53	10.25
1980-08-01	228070	168103	108404	8202	83.200	81.300	41.711	41.325	10.24	10.84	11.10
1980-09-01	228302	168297	106989	7655	83.900	82.100	42.096	41.714	11.52	11.62	11.51
1980-10-01	228515	168503	107673	7674	84.700	83.000	42.434	42.058	12.49	11.86	11.75
1980-11-01	228696	168695	107532	7682	85.600	83.900	42.779	42.389	14.15	12.83	12.68
1980-12-01	228858	168883	107009	7430	86.400	84.900	43.057	42.644	14.88	13.25	12.84
