DATE	rgdp_pctch_qa_sa	rgdp_pctch_ya_sa	pop_thou_nsa	capacity_utilization	rgdp_pot_nsa	rgdp_nsa
2002-01-01	3.5	1.3	286935	74.1121	13651.0574300000000	3264.061
2002-04-01	2.4	1.3	287574	75.0039	13741.1641900000010	3363.525
2002-07-01	1.8	2.2	288303	75.3277	13829.1605400000000	3401.800
2002-10-01	0.6	2.1	289007	75.3119	13915.9970500000000	3463.678
2003-01-01	2.2	1.8	289609	75.8529	14002.4307300000020	3342.362
2003-04-01	3.5	2.0	290253	75.3738	14089.7034800000020	3432.912
2003-07-01	7.0	3.3	290974	75.9427	14177.4391400000000	3501.294
2003-10-01	4.7	4.3	291669	76.7304	14266.4515400000000	3602.561
2004-01-01	2.2	4.3	292237	77.3093	14357.4706599999990	3486.566
2004-04-01	3.1	4.2	292875	77.7898	14450.3877099999990	3578.905
2004-07-01	3.8	3.4	293603	78.2312	14545.5300900000000	3617.100
2004-10-01	4.1	3.3	294334	79.2795	14642.1188000000000	3723.813
2005-01-01	4.5	3.9	294957	80.2500	14737.0669200000000	3605.815
2005-04-01	1.9	3.6	295588	80.3988	14829.4116500000000	3703.346
2005-07-01	3.6	3.5	296340	79.7218	14920.2288400000000	3768.864
2005-10-01	2.6	3.1	297086	80.1727	15008.9441300000020	3834.484
2006-01-01	5.4	3.4	297736	80.6048	15095.1715500000000	3737.475
2006-04-01	0.9	3.1	298408	80.7422	15179.3501900000010	3841.314
2006-07-01	0.6	2.4	299180	80.6179	15259.8189900000000	3836.379
2006-10-01	3.5	2.6	299946	80.2690	15336.4256000000000	3923.089
2007-01-01	0.9	1.5	300609	80.4111	15412.3532199999990	3792.335
2007-04-01	2.3	1.8	301284	80.8821	15488.0187699999990	3897.638
2007-07-01	2.2	2.2	302062	80.7762	15563.8453900000000	3922.290
2007-10-01	2.5	2.0	302829	80.9464	15638.7999200000000	4013.767
2008-01-01	-2.3	1.1	303494	80.7542	15712.5879300000020	3900.698
2008-04-01	2.1	1.1	304160	79.7066	15783.6793600000000	3923.096
2008-07-01	-2.1	0.0	304902	77.0658	15850.8659099999990	3896.771
2008-10-01	-8.4	-2.8	305616	73.5786	15913.8326300000000	3884.122
2009-01-01	-4.4	-3.3	306237	69.2223	15971.4350600000000	3697.980
2009-04-01	-0.6	-3.9	306866	67.1080	16025.0084800000000	3775.754
2009-07-01	1.5	-3.0	307573	68.1631	16075.4178800000000	3815.306
2009-10-01	4.5	0.2	308285	69.4994	16124.3639300000010	3919.793
2010-01-01	1.5	1.7	308901	71.2870	16173.5749700000000	3769.299
2010-04-01	3.7	2.8	309460	73.1783	16224.4293300000000	3888.466
2010-07-01	3.0	3.2	310062	74.5703	16277.7151900000000	3930.071
2010-10-01	2.0	2.6	310675	75.0950	16333.1598900000000	4010.917
2011-01-01	-1.0	1.9	311176	75.6046	16390.9473200000000	3860.254
2011-04-01	2.9	1.7	311684	75.7999	16450.9393000000000	3945.183
2011-07-01	-0.1	0.9	312293	76.4025	16513.2573200000000	3969.697
2011-10-01	4.7	1.6	312887	76.7662	16577.2776600000000	4065.531
2012-01-01	3.2	2.7	313385	77.0617	16642.8707699999980	3976.161
2012-04-01	1.7	2.4	313888	77.1253	16710.4678700000000	4032.923
2012-07-01	0.5	2.5	314488	76.7388	16779.6557500000000	4066.059
2012-10-01	0.5	1.5	315085	76.7695	16850.1490600000000	4121.865
2013-01-01	3.6	1.6	315539	77.0309	16921.8141100000000	4005.733
2013-04-01	0.5	1.3	316020	77.0757	16994.8586500000000	4089.075
2013-07-01	3.2	1.9	316626	77.1222	17068.5520100000000	4153.739
2013-10-01	3.2	2.6	317244	77.4520	17143.4414900000000	4246.823
2014-01-01	-1.1	1.4	317760	77.8432	17219.3262599999980	4071.388
2014-04-01	5.5	2.7	318287	78.6386	17296.1520900000000	4191.344
2014-07-01	5.0	3.1	318921	78.7987	17374.2326599999980	4283.137
2014-10-01	2.3	2.9	319557	79.0012	17453.0340699999980	4366.169
2015-01-01	3.8	4.1	320058	78.1413	17532.1131300000000	4221.432
2015-04-01	2.7	3.5	320578	76.9209	17611.1780800000000	4354.165
2015-07-01	1.5	2.6	321205	76.8114	17689.6032400000000	4400.611
2015-10-01	0.6	2.2	321831	75.7533	17766.7600000000000	4455.961
2016-01-01	2.3	1.8	322354	75.2987	17843.1500000000000	4291.702
2016-04-01	1.3	1.4	322871	74.7720	17918.1500000000000	4418.968
2016-07-01	2.2	1.6	323473	74.9959	17991.9700000000000	4470.421
2016-10-01	2.5	2.1	324048	75.1227	18065.0500000000000	4549.417
2017-01-01	2.3	2.1	324496	75.4760	18137.7000000000000	4354.988
2017-04-01	1.7	2.2	324948	76.4628	18211.0700000000000	4527.108
2017-07-01	2.9	2.4	325475	76.2727	18287.1300000000000	4583.646
2017-10-01	3.9	2.7	325963	77.5913	18365.2900000000000	4678.362
2018-01-01	3.8	3.1	326325	77.8704	18446.4000000000000	4508.918
2018-04-01	2.7	3.3	326703	78.4790	18530.5100000000000	4666.811
2018-07-01	2.1	3.1	327167	79.1048	18617.4200000000000	4720.382
2018-10-01	1.3	2.5	327602	79.4413	18705.5300000000000	4791.676
2019-01-01	2.9	2.3	327923	78.6205	18794.8200000000000	4603.316
2019-04-01	1.5	2.0	328270	77.7515	18885.4800000000000	4764.428
2019-07-01	2.6	2.1	328730	77.5650	18976.4900000000000	4813.751
2019-10-01	2.4	2.3	329186	77.2437	19065.5800000000000	4910.167
2020-01-01	-5.0	0.3	329529	75.7863	19153.9800000000000	4628.733
2020-04-01	-31.4	-9.0	329898	65.9734	19242.0400000000000	4333.810
2020-07-01	33.4	-2.8	330368	72.1430	19327.3100000000000	4687.826
2020-10-01	4.0	-2.5	330835	73.6553	19414.1600000000000	4815.424
