DATE	A191RL1Q225SBEA	A191RO1Q156NBEA	B230RC0Q173SBEA	CAPUTLB50001SQ	GDPPOT	ND000334Q
1947-01-01			143143			
1947-04-01	-1.0		143790			
1947-07-01	-0.8		144449			
1947-10-01	6.4		145122			
1948-01-01	6.2	2.6	145709			
1948-04-01	6.8	4.6	146289			
1948-07-01	2.3	5.4	146921			
1948-10-01	0.4	3.9	147607			
1949-01-01	-5.4	0.9	148254		2103.1799360000000	
1949-04-01	-1.4	-1	148847		2130.7327210000003	
1949-07-01	4.2	-0.6	149485		2159.4478710000003	
1949-10-01	-3.3	-1.5	150167		2186.9072650000000	
1950-01-01	16.7	3.8	150786		2216.0730600000000	
1950-04-01	12.8	7.3	151319		2245.4417800000000	
1950-07-01	16.4	10.3	151973		2274.9798680000000	
1950-10-01	7.9	13.4	152658		2305.8448200000000	
1951-01-01	5.5	10.6	153291		2337.2011079999997	
1951-04-01	7.1	9.2	153902		2368.5988110000000	
1951-07-01	8.5	7.3	154610		2401.2857059999997	
1951-10-01	0.9	5.5	155344		2435.2484230000000	
1952-01-01	4.3	5.2	155976		2469.4578260000003	
1952-04-01	0.9	3.6	156587		2504.8760829999997	
1952-07-01	2.9	2.2	157267		2537.6973050000000	
1952-10-01	13.8	5.4	157986		2568.5871440000000	
1953-01-01	7.6	6.2	158574		2596.4583480000000	
1953-04-01	3.1	6.8	159160		2622.5168810000000	
1953-07-01	-2.2	5.4	159889		2645.8690710000000	
1953-10-01	-5.9	0.5	160639		2666.7979210000003	
1954-01-01	-1.9	-1.8	161328		2686.4890739999996	
1954-04-01	0.4	-2.4	161983		2704.2725420000000	
1954-07-01	4.6	-0.8	162731		2721.0743020000000	
1954-10-01	8.1	2.7	163524		2738.3104690000000	
1955-01-01	11.9	6.2	164204		2755.0167660000000	
1955-04-01	6.7	7.8	164864		2772.8642690000000	
1955-07-01	5.5	8.0	165612		2790.4606900000000	
1955-10-01	2.4	6.6	166419		2808.7178690000000	
1956-01-01	-1.5	3.2	167109		2827.2744070000000	
1956-04-01	3.3	2.4	167788		2845.6566780000003	
1956-07-01	-0.4	0.9	168573		2864.9352220000000	
1956-10-01	6.7	2.0	169416		2885.2697900000000	
1957-01-01	2.6	3.1	170172		2907.3381449999997	
1957-04-01	-0.9	2.0	170869		2930.8449100000003	
1957-07-01	4.0	3.1	171638		2955.4455220000000	
1957-10-01	-4.1	0.4	172417		2981.2296190000000	
1958-01-01	-10.0	-2.9	173064		3007.2554990000000	
1958-04-01	2.7	-2	173729		3034.3149840000000	
1958-07-01	9.6	-0.7	174483		3061.8041490000000	
1958-10-01	9.7	2.7	175288		3090.7007329999997	
1959-01-01	7.9	7.4	176045		3120.0557810000000	
1959-04-01	9.3	9.1	176727		3150.3766900000000	
1959-07-01	0.3	6.7	177481		3182.3780840000000	
1959-10-01	1.1	4.6	178268		3214.5699250000000	
1960-01-01	9.3	4.9	179319		3247.5902120000000	
1960-04-01	-2.1	2.1	180401		3280.3226550000000	
1960-07-01	2.0	2.5	181301		3313.2392340000000	
1960-10-01	-5.0	0.9	182019		3345.8650710000000	
1961-01-01	2.7	-0.7	182634		3378.9380409999994	
1961-04-01	7.0	1.6	183337		3411.2015070000000	
1961-07-01	7.9	3.0	184103		3444.8756750000000	
1961-10-01	8.1	6.4	184894		3478.8662920000000	
1962-01-01	7.3	7.6	185553		3513.9470610000000	
1962-04-01	3.7	6.7	186203		3549.9370670000003	
1962-07-01	5.0	6.0	186926		3586.8420560000004	
1962-10-01	1.3	4.3	187680		3624.4379590000003	
1963-01-01	4.4	3.6	188299		3662.5489000000000	
1963-04-01	4.6	3.8	188906		3701.4911950000005	
1963-07-01	9.1	4.8	189631		3741.1609210000000	
1963-10-01	2.6	5.2	190362		3781.6316409999995	
1964-01-01	8.7	6.2	190954		3822.1755220000000	
1964-04-01	4.4	6.2	191560		3863.6883660000000	
1964-07-01	6.4	5.5	192256		3905.6222770000004	
1964-10-01	1.2	5.2	192938		3947.7588440000000	
1965-01-01	10.0	5.5	193467		3991.1421979999996	
1965-04-01	5.1	5.7	193994		4033.8666000000000	
1965-07-01	9.2	6.3	194647		4078.2504130000000	
1965-10-01	9.5	8.5	195279		4123.1726960000005	
1966-01-01	10.1	8.5	195763		4168.8714390000005	
1966-04-01	1.4	7.5	196277		4215.1975720000000	
1966-07-01	3.4	6.0	196877		4262.2575050000000	
1966-10-01	3.3	4.5	197481		4309.1631570000000	
1967-01-01	3.6	2.9	197967	88.1495	4356.8328460000000	
1967-04-01	0.2	2.6	198455	86.6086	4404.8369520000010	
1967-07-01	3.8	2.7	199012	86.0431	4453.1705390000000	
1967-10-01	3.0	2.7	199572	87.1866	4502.6854280000000	
1968-01-01	8.4	3.8	199995	87.3361	4552.7925829999995	
1968-04-01	6.9	5.5	200452	87.4700	4603.0348660000000	
1968-07-01	3.1	5.3	200997	87.1231	4654.4618940000000	
1968-10-01	1.6	5.0	201538	87.4266	4706.7307750000000	
1969-01-01	6.4	4.5	201955	88.1385	4757.5023980000000	
1969-04-01	1.2	3.1	202419	87.5774	4806.3099219999995	
