"DATE"	"A191RL1Q225SBEA"	"A191RO1Q156NBEA"	"B230RC0Q173SBEA"	"CAPUTLB50001SQ"	"GDPPOT"	"ND000334Q"
1947-01-01			143143			
1947-04-01	-1.1		143790			
1947-07-01	-0.8		144449			
1947-10-01	6.4		145122			
1948-01-01	6.2	2.6	145709			
1948-04-01	6.8	4.6	146289			
1948-07-01	2.3	5.4	146921			
1948-10-01	0.5	3.9	147607			
1949-01-01	-5.4	0.9	148254		2104.05060491388	
1949-04-01	-1.4	-1	148847		2131.64869264251	
1949-07-01	4.2	-0.6	149485		2160.47954292591	
1949-10-01	-3.3	-1.5	150167		2188.02898551255	
1950-01-01	16.6	3.8	150786		2217.26007703257	
1950-04-01	12.8	7.3	151319		2246.72918435369	
1950-07-01	16.4	10.3	151973		2276.36888016772	
1950-10-01	7.9	13.4	152658		2307.36605234811	
1951-01-01	5.5	10.6	153291		2338.824974318	
1951-04-01	7.1	9.1	153902		2370.32277429375	
1951-07-01	8.5	7.3	154610		2403.1071314889	
1951-10-01	0.9	5.5	155344		2437.16070398708	
1952-01-01	4.3	5.2	155976		2471.42033130485	
1952-04-01	0.9	3.6	156587		2506.88170459912	
1952-07-01	2.9	2.2	157267		2539.80152495903	
1952-10-01	13.8	5.4	157986		2570.74983362087	
1953-01-01	7.6	6.2	158574		2598.67336978096	
1953-04-01	3.1	6.8	159160		2624.78051924098	
1953-07-01	-2.2	5.4	159889		2648.17787583369	
1953-10-01	-5.9	0.5	160639		2669.14793245448	
1954-01-01	-1.9	-1.8	161328		2688.87945684181	
1954-04-01	0.4	-2.4	161983		2706.70024003047	
1954-07-01	4.6	-0.8	162731		2723.56546658203	
1954-10-01	8.1	2.7	163524		2740.8014634802	
1955-01-01	11.9	6.2	164204		2757.5375440431	
1955-04-01	6.6	7.8	164864		2775.48694757419	
1955-07-01	5.5	8	165612		2793.0733686536	
1955-10-01	2.4	6.6	166419		2811.30680247242	
1956-01-01	-1.5	3.2	167109		2829.908366033	
1956-04-01	3.3	2.4	167788		2848.31389865172	
1956-07-01	-0.4	0.9	168573		2867.57651734714	
1956-10-01	6.8	2	169416		2887.98294847122	
1957-01-01	2.6	3	170172		2909.99693055139	
1957-04-01	-0.9	2	170869		2933.44874293786	
1957-07-01	4	3.1	171638		2957.98323777117	
1957-10-01	-4.1	0.4	172417		2983.72548944244	
1958-01-01	-10	-2.9	173064		3009.660085908	
1958-04-01	2.6	-2	173729		3036.55061430456	
1958-07-01	9.6	-0.7	174483		3063.96444649183	
1958-10-01	9.7	2.7	175288		3092.79235670871	
1959-01-01	7.9	7.4	176045		3122.00754824872	
1959-04-01	9.3	9.1	176727		3152.23242225977	
